name,id,code,shortName,Indicator,formName,domainType,valueType,aggregationoperator,fieldMask,categoryCombo.id,class,data,type,Inverse
[GC7/M-TNT/AL12-AMC/RESULT/COMMODITIES] AL 12's AMC,xgf56l4w0ir,GC7/M-TNT/AL12-AMC/RESULT/COMMODITIES,GC7/M-TNT/AL12-AMC/RESULT/COMMODITIES,AL 12's AMC,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/AL12-BAL/RESULT/COMMODITIES] AL 12's Ending Balance,rXBfj4H08EG,GC7/M-TNT/AL12-BAL/RESULT/COMMODITIES,GC7/M-TNT/AL12-BAL/RESULT/COMMODITIES,AL 12's Ending Balance,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/AL12-COMMENT/COMMENT/COMMODITIES] AL 12's Comments,mvLah2Fso9L,GC7/M-TNT/AL12-COMMENT/COMMENT/COMMODITIES,GC7/M-TNT/AL12-COMMENT/COMMENT/COMMODITIES,AL 12's Comments,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Products,Comment,,No
[GC7/M-TNT/AL12-PROC/RESULT/COMMODITIES] AL 12's Under Procurement,CwumeZZjEzb,GC7/M-TNT/AL12-PROC/RESULT/COMMODITIES,GC7/M-TNT/AL12-PROC/RESULT/COMMODITIES,AL 12's Under Procurement,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/AL12-SOR-D/RESULT/COMMODITIES] AL 12's SOR - Denominator,gvJIeaawyIS,GC7/M-TNT/AL12-SOR-D/RESULT/COMMODITIES,GC7/M-TNT/AL12-SOR-D/RESULT/COMMODITIES,AL 12's SOR - Denominator,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/AL12-SOR-N/RESULT/COMMODITIES] AL 12's SOR - Numerator,bSQkbkw6N6k,GC7/M-TNT/AL12-SOR-N/RESULT/COMMODITIES,GC7/M-TNT/AL12-SOR-N/RESULT/COMMODITIES,AL 12's SOR - Numerator,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/AL18-AMC/RESULT/COMMODITIES] AL 18's AMC,gD0nsjSRIfK,GC7/M-TNT/AL18-AMC/RESULT/COMMODITIES,GC7/M-TNT/AL18-AMC/RESULT/COMMODITIES,AL 18's AMC,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/AL18-BAL/RESULT/COMMODITIES] AL 18's Ending Balance,PgJLcarbBXN,GC7/M-TNT/AL18-BAL/RESULT/COMMODITIES,GC7/M-TNT/AL18-BAL/RESULT/COMMODITIES,AL 18's Ending Balance,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/AL18-COMMENT/COMMENT/COMMODITIES] AL 18's Comments,PNz1UhN5hBV,GC7/M-TNT/AL18-COMMENT/COMMENT/COMMODITIES,GC7/M-TNT/AL18-COMMENT/COMMENT/COMMODITIES,AL 18's Comments,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Products,Comment,,No
[GC7/M-TNT/AL18-PROC/RESULT/COMMODITIES] AL 18's Under Procurement,TBjAlIFdBIW,GC7/M-TNT/AL18-PROC/RESULT/COMMODITIES,GC7/M-TNT/AL18-PROC/RESULT/COMMODITIES,AL 18's Under Procurement,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/AL18-SOR-D/RESULT/COMMODITIES] AL 18's SOR - Denominator,FVPEpJ1xASI,GC7/M-TNT/AL18-SOR-D/RESULT/COMMODITIES,GC7/M-TNT/AL18-SOR-D/RESULT/COMMODITIES,AL 18's SOR - Denominator,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/AL18-SOR-N/RESULT/COMMODITIES] AL 18's SOR - Numerator,CzrmqR4oye1,GC7/M-TNT/AL18-SOR-N/RESULT/COMMODITIES,GC7/M-TNT/AL18-SOR-N/RESULT/COMMODITIES,AL 18's SOR - Numerator,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/AL24-AMC/RESULT/COMMODITIES] AL 24's AMC,HWYNrQVatSg,GC7/M-TNT/AL24-AMC/RESULT/COMMODITIES,GC7/M-TNT/AL24-AMC/RESULT/COMMODITIES,AL 24's AMC,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/AL24-BAL/RESULT/COMMODITIES] AL 24's Ending Balance,yMFiqybwNea,GC7/M-TNT/AL24-BAL/RESULT/COMMODITIES,GC7/M-TNT/AL24-BAL/RESULT/COMMODITIES,AL 24's Ending Balance,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/AL24-COMMENT/COMMENT/COMMODITIES] AL 24's Comments,ExEsfQOxJCx,GC7/M-TNT/AL24-COMMENT/COMMENT/COMMODITIES,GC7/M-TNT/AL24-COMMENT/COMMENT/COMMODITIES,AL 24's Comments,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Products,Comment,,No
[GC7/M-TNT/AL24-PROC/RESULT/COMMODITIES] AL 24's Under Procurement,hQw03xv9rdx,GC7/M-TNT/AL24-PROC/RESULT/COMMODITIES,GC7/M-TNT/AL24-PROC/RESULT/COMMODITIES,AL 24's Under Procurement,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/AL24-SOR-D/RESULT/COMMODITIES] AL 24's SOR - Denominator,qaifPBtHpL2,GC7/M-TNT/AL24-SOR-D/RESULT/COMMODITIES,GC7/M-TNT/AL24-SOR-D/RESULT/COMMODITIES,AL 24's SOR - Denominator,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/AL24-SOR-N/RESULT/COMMODITIES] AL 24's SOR - Numerator,tKxH3aWA8ri,GC7/M-TNT/AL24-SOR-N/RESULT/COMMODITIES,GC7/M-TNT/AL24-SOR-N/RESULT/COMMODITIES,AL 24's SOR - Numerator,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/AL6-AMC/RESULT/COMMODITIES] AL 6's AMC,XZkdU8vB8Am,GC7/M-TNT/AL6-AMC/RESULT/COMMODITIES,GC7/M-TNT/AL6-AMC/RESULT/COMMODITIES,AL 6's AMC,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/AL6-BAL/RESULT/COMMODITIES] AL 6's Ending Balance,uSdDwdtpbEu,GC7/M-TNT/AL6-BAL/RESULT/COMMODITIES,GC7/M-TNT/AL6-BAL/RESULT/COMMODITIES,AL 6's Ending Balance,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/AL6-COMMENT/COMMENT/COMMODITIES] AL 6's Comments,JNKDf95JeNt,GC7/M-TNT/AL6-COMMENT/COMMENT/COMMODITIES,GC7/M-TNT/AL6-COMMENT/COMMENT/COMMODITIES,AL 6's Comments,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Products,Comment,,No
[GC7/M-TNT/AL6-PROC/RESULT/COMMODITIES] AL 6's Under Procurement,wjph4XfkEox,GC7/M-TNT/AL6-PROC/RESULT/COMMODITIES,GC7/M-TNT/AL6-PROC/RESULT/COMMODITIES,AL 6's Under Procurement,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/AL6-SOR-D/RESULT/COMMODITIES] AL 6's SOR - Denominator,b3NzPvOt607,GC7/M-TNT/AL6-SOR-D/RESULT/COMMODITIES,GC7/M-TNT/AL6-SOR-D/RESULT/COMMODITIES,AL 6's SOR - Denominator,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/AL6-SOR-N/RESULT/COMMODITIES] AL 6's SOR - Numerator,gEp5M2KKkEW,GC7/M-TNT/AL6-SOR-N/RESULT/COMMODITIES,GC7/M-TNT/AL6-SOR-N/RESULT/COMMODITIES,AL 6's SOR - Numerator,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/ARTESUNATE-AMC/RESULT/COMMODITIES] ARTESUNATE Injectable AMC,mJyDaJjJ2ON,GC7/M-TNT/ARTESUNATE-AMC/RESULT/COMMODITIES,GC7/M-TNT/ARTESUNATE-AMC/RESULT/COMMODITIES,ARTESUNATE Injectable AMC,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/ARTESUNATE-BAL/RESULT/COMMODITIES] ARTESUNATE Injectable Ending Balance,gpwhRlFADur,GC7/M-TNT/ARTESUNATE-BAL/RESULT/COMMODITIES,GC7/M-TNT/ARTESUNATE-BAL/RESULT/COMMODITIES,ARTESUNATE Injectable Ending Balance,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/ARTESUNATE-COMMENT/COMMENT/COMMODITIES] ARTESUNATE Injectable Comments,LLhlE4uYiit,GC7/M-TNT/ARTESUNATE-COMMENT/COMMENT/COMMODITIES,GC7/M-TNT/ARTESUNATE-COMMENT/COMMENT/COMMODITIES,ARTESUNATE Injectable Comments,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Products,Comment,,No
[GC7/M-TNT/ARTESUNATE-PROC/RESULT/COMMODITIES] ARTESUNATE Injectable Under Procurement,eJGPfYyVxpA,GC7/M-TNT/ARTESUNATE-PROC/RESULT/COMMODITIES,GC7/M-TNT/ARTESUNATE-PROC/RESULT/COMMODITIES,ARTESUNATE Injectable Under Procurement,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/ARTESUNATE-SOR-D/RESULT/COMMODITIES] ARTESUNATE Injectable SOR - Denominator,d19dg5JNKmD,GC7/M-TNT/ARTESUNATE-SOR-D/RESULT/COMMODITIES,GC7/M-TNT/ARTESUNATE-SOR-D/RESULT/COMMODITIES,ARTESUNATE Injectable SOR - Denominator,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/ARTESUNATE-SOR-N/RESULT/COMMODITIES] ARTESUNATE Injectable SOR - Numerator,sS4CmF7L0nn,GC7/M-TNT/ARTESUNATE-SOR-N/RESULT/COMMODITIES,GC7/M-TNT/ARTESUNATE-SOR-N/RESULT/COMMODITIES,ARTESUNATE Injectable SOR - Numerator,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/CM-1a⁽ᴹ⁾/COMMENT/COVERAGE] Proportion of suspected malaria cases that receive a parasitological test at public sector health facilities,wOYR9rWiKjs,GC7/M-TNT/COMMENT/CM-1a⁽ᴹ⁾/COMMENT/COVERAGE,GC7/M-TNT/COMMENT/CM-1a⁽ᴹ⁾/COMMENT/COVERAGE,Proportion of suspected malaria cases that receive a parasitological test at public sector health facilities,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Program,Comment,Coverage,No
[GC7/M-TNT/CM-1a⁽ᴹ⁾/RESULT/COVERAGE] Proportion of suspected malaria cases that receive a parasitological test at public sector health facilities,NWBfxz1Iwmk,GC7/M-TNT/RESULT/CM-1a⁽ᴹ⁾/RESULT/COVERAGE,GC7/M-TNT/RESULT/CM-1a⁽ᴹ⁾/RESULT/COVERAGE,Proportion of suspected malaria cases that receive a parasitological test at public sector health facilities,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Program,Result,Coverage,No
[GC7/M-TNT/CM-1a⁽ᴹ⁾/TARGET/COVERAGE] Proportion of suspected malaria cases that receive a parasitological test at public sector health facilities,nTSvbcmKM6n,GC7/M-TNT/TARGET/CM-1a⁽ᴹ⁾/TARGET/COVERAGE,GC7/M-TNT/TARGET/CM-1a⁽ᴹ⁾/TARGET/COVERAGE,Proportion of suspected malaria cases that receive a parasitological test at public sector health facilities,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Program,Target,Coverage,No
[GC7/M-TNT/CM-1b⁽ᴹ⁾/COMMENT/COVERAGE] Proportion of suspected malaria cases that receive a parasitological test in the community,B1SQtjXlBSD,GC7/M-TNT/COMMENT/CM-1b⁽ᴹ⁾/COMMENT/COVERAGE,GC7/M-TNT/COMMENT/CM-1b⁽ᴹ⁾/COMMENT/COVERAGE,Proportion of suspected malaria cases that receive a parasitological test in the community,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Program,Comment,Coverage,No
[GC7/M-TNT/CM-1b⁽ᴹ⁾/RESULT/COVERAGE] Proportion of suspected malaria cases that receive a parasitological test in the community,vr5NdiRw4Ek,GC7/M-TNT/RESULT/CM-1b⁽ᴹ⁾/RESULT/COVERAGE,GC7/M-TNT/RESULT/CM-1b⁽ᴹ⁾/RESULT/COVERAGE,Proportion of suspected malaria cases that receive a parasitological test in the community,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Program,Result,Coverage,No
[GC7/M-TNT/CM-1b⁽ᴹ⁾/TARGET/COVERAGE] Proportion of suspected malaria cases that receive a parasitological test in the community,gCrJ531OSWr,GC7/M-TNT/TARGET/CM-1b⁽ᴹ⁾/TARGET/COVERAGE,GC7/M-TNT/TARGET/CM-1b⁽ᴹ⁾/TARGET/COVERAGE,Proportion of suspected malaria cases that receive a parasitological test in the community,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Program,Target,Coverage,No
[GC7/M-TNT/CM-2a⁽ᴹ⁾/COMMENT/COVERAGE] Proportion of confirmed malaria cases that received first-line antimalarial treatment at public sector health facilities,bnFEwVwhMRx,GC7/M-TNT/COMMENT/CM-2a⁽ᴹ⁾/COMMENT/COVERAGE,GC7/M-TNT/COMMENT/CM-2a⁽ᴹ⁾/COMMENT/COVERAGE,Proportion of confirmed malaria cases that received first-line antimalarial treatment at public sector health facilities,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Program,Comment,Coverage,No
[GC7/M-TNT/CM-2a⁽ᴹ⁾/RESULT/COVERAGE] Proportion of confirmed malaria cases that received first-line antimalarial treatment at public sector health facilities,LW3E4uW1tyW,GC7/M-TNT/RESULT/CM-2a⁽ᴹ⁾/RESULT/COVERAGE,GC7/M-TNT/RESULT/CM-2a⁽ᴹ⁾/RESULT/COVERAGE,Proportion of confirmed malaria cases that received first-line antimalarial treatment at public sector health facilities,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Program,Result,Coverage,No
[GC7/M-TNT/CM-2a⁽ᴹ⁾/TARGET/COVERAGE] Proportion of confirmed malaria cases that received first-line antimalarial treatment at public sector health facilities,H38Fkoei3wA,GC7/M-TNT/TARGET/CM-2a⁽ᴹ⁾/TARGET/COVERAGE,GC7/M-TNT/TARGET/CM-2a⁽ᴹ⁾/TARGET/COVERAGE,Proportion of confirmed malaria cases that received first-line antimalarial treatment at public sector health facilities,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Program,Target,Coverage,No
[GC7/M-TNT/CM-2b⁽ᴹ⁾/COMMENT/COVERAGE] Proportion of confirmed malaria cases that received first-line antimalarial treatment in the community,PfzpIwwUaxW,GC7/M-TNT/COMMENT/CM-2b⁽ᴹ⁾/COMMENT/COVERAGE,GC7/M-TNT/COMMENT/CM-2b⁽ᴹ⁾/COMMENT/COVERAGE,Proportion of confirmed malaria cases that received first-line antimalarial treatment in the community,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Program,Comment,Coverage,No
[GC7/M-TNT/CM-2b⁽ᴹ⁾/RESULT/COVERAGE] Proportion of confirmed malaria cases that received first-line antimalarial treatment in the community,w0imlV0rfJR,GC7/M-TNT/RESULT/CM-2b⁽ᴹ⁾/RESULT/COVERAGE,GC7/M-TNT/RESULT/CM-2b⁽ᴹ⁾/RESULT/COVERAGE,Proportion of confirmed malaria cases that received first-line antimalarial treatment in the community,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Program,Result,Coverage,No
[GC7/M-TNT/CM-2b⁽ᴹ⁾/TARGET/COVERAGE] Proportion of confirmed malaria cases that received first-line antimalarial treatment in the community,gzkkOVtQPib,GC7/M-TNT/TARGET/CM-2b⁽ᴹ⁾/TARGET/COVERAGE,GC7/M-TNT/TARGET/CM-2b⁽ᴹ⁾/TARGET/COVERAGE,Proportion of confirmed malaria cases that received first-line antimalarial treatment in the community,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Program,Target,Coverage,No
[GC7/M-TNT/COMMIT/FINANCE] PR Commitments,YxC5t8lxmA6,GC7/M-TNT/COMMIT/FINANCE,GC7/M-TNT/COMMIT/FINANCE,Commitments,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Finance,,,No
[GC7/M-TNT/CO_FINANCE_BUDGET/CO-FINANCE] Cumulative budget,qN1nxwLnqKr,GC7/M-TNT/CO_FINANCE_BUDGET/CO-FINANCE,GC7/M-TNT/CO_FINANCE_BUDGET/CO-FINANCE,Cumulative budget,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Co-financing,,,No
[GC7/M-TNT/CO_FINANCE_COMMENT/CO-FINANCE] Comments,lOUz8a9RSSU,GC7/M-TNT/CO_FINANCE_COMMENT/CO-FINANCE,GC7/M-TNT/CO_FINANCE_COMMENT/CO-FINANCE,Comments,NUMBER,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Co-financing,,,No
[GC7/M-TNT/CO_FINANCE_COMMIT/CO-FINANCE] Commitments,CyVPdK8AU1m,GC7/M-TNT/CO_FINANCE_COMMIT/CO-FINANCE,GC7/M-TNT/CO_FINANCE_COMMIT/CO-FINANCE,Commitments,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Co-financing,,,No
[GC7/M-TNT/CO_FINANCE_EXPENSES/CO-FINANCE] Cumulative expenditure,sWecX8iHtgD,GC7/M-TNT/CO_FINANCE_EXPENSES/CO-FINANCE,GC7/M-TNT/CO_FINANCE_EXPENSES/CO-FINANCE,Cumulative expenditure,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Co-financing,,,No
[GC7/M-TNT/CO_FINANCE_OBLIG/CO-FINANCE] Obligations,yztoy0edxO1,GC7/M-TNT/CO_FINANCE_OBLIG/CO-FINANCE,GC7/M-TNT/CO_FINANCE_OBLIG/CO-FINANCE,Obligations,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Co-financing,,,No
[GC7/M-TNT/CUM_BUDGET/FINANCE] PR Cumulative Budget,WQOEjabb4UI,GC7/M-TNT/CUM_BUDGET/FINANCE,GC7/M-TNT/CUM_BUDGET/FINANCE,Cumulative Budget,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Finance,,,No
[GC7/M-TNT/CUM_EXP_PR/FINANCE] PR Cumulative Funds Expensed by PR,clkwKpyLS3i,GC7/M-TNT/CUM_EXP_PR/FINANCE,GC7/M-TNT/CUM_EXP_PR/FINANCE,Cumulative Funds Expensed by PR,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Finance,,,No
[GC7/M-TNT/CUM_EXP_SR/FINANCE] PR Cumulative Funds Expensed by Sub Recipients,hHWmLEw0cAQ,GC7/M-TNT/CUM_EXP_SR/FINANCE,GC7/M-TNT/CUM_EXP_SR/FINANCE,Cumulative Funds Expensed by Sub Recipients,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Finance,,,No
[GC7/M-TNT/CUM_FUNDS_DISB_PR/FINANCE] PR Cumulative Funds Disbursed to PR,MCWVu2UzU2P,GC7/M-TNT/CUM_FUNDS_DISB_PR/FINANCE,GC7/M-TNT/CUM_FUNDS_DISB_PR/FINANCE,Cumulative Funds Disbursed to PR,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Finance,,,No
[GC7/M-TNT/CUM_FUNDS_DISB_SR/FINANCE] PR Cumulative Funds Disbursed to Sub Recipients,CCh0gagjmTD,GC7/M-TNT/CUM_FUNDS_DISB_SR/FINANCE,GC7/M-TNT/CUM_FUNDS_DISB_SR/FINANCE,Cumulative Funds Disbursed to Sub Recipients,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Finance,,,No
[GC7/M-TNT/CUM_SR_BUDGET/FINANCE] PR Cumulative Sub Recipients Budget Amount,E6JvGFTGMHE,GC7/M-TNT/CUM_SR_BUDGET/FINANCE,GC7/M-TNT/CUM_SR_BUDGET/FINANCE,Cumulative Sub Recipients Budget Amount,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Finance,,,No
[GC7/M-TNT/FIN_NARR/FINANCE] PR Comments,ox0F5jQxWeF,GC7/M-TNT/FIN_NARR/FINANCE,GC7/M-TNT/FIN_NARR/FINANCE,Comments,NUMBER,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Finance,,,No
[GC7/M-TNT/FIN_RATING/RATING] PR Financial Rating,RmfcXdH87HG,GC7/M-TNT/FIN_RATING/RATING,GC7/M-TNT/FIN_RATING/RATING,Financial Rating,NUMBER,AGGREGATE,TEXT,,,bjDvmb4bfuf,Rating,,,No
[GC7/M-TNT/FIN_RATING_COMMENT/RATING] PR Financial Rating Comments,PQQZ9sbtV41,GC7/M-TNT/FIN_RATING_COMMENT/RATING,GC7/M-TNT/FIN_RATING_COMMENT/RATING,Financial Rating Comments,NUMBER,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Rating,,,No
[GC7/M-TNT/FIN_RATING_END/RATING] PR Financial Rating End Date,jhzIJgRiSDi,GC7/M-TNT/FIN_RATING_END/RATING,GC7/M-TNT/FIN_RATING_END/RATING,Financial Rating End Date,NUMBER,AGGREGATE,DATE,,,bjDvmb4bfuf,Rating,,,No
[GC7/M-TNT/FIN_RATING_START/RATING] PR Financial Rating Start Date,B04QsNyb9uI,GC7/M-TNT/FIN_RATING_START/RATING,GC7/M-TNT/FIN_RATING_START/RATING,Financial Rating Start Date,NUMBER,AGGREGATE,DATE,,,bjDvmb4bfuf,Rating,,,No
[GC7/M-TNT/ITNS-AMC/RESULT/COMMODITIES] ITNs AMC,TOfVqFGvRPh,GC7/M-TNT/ITNS-AMC/RESULT/COMMODITIES,GC7/M-TNT/ITNS-AMC/RESULT/COMMODITIES,ITNs AMC,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/ITNS-BAL/RESULT/COMMODITIES] ITNs Ending Balance,UU1n52nF5xc,GC7/M-TNT/ITNS-BAL/RESULT/COMMODITIES,GC7/M-TNT/ITNS-BAL/RESULT/COMMODITIES,ITNs Ending Balance,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/ITNS-COMMENT/COMMENT/COMMODITIES] ITNs Comments,BIBdM8rPGCu,GC7/M-TNT/ITNS-COMMENT/COMMENT/COMMODITIES,GC7/M-TNT/ITNS-COMMENT/COMMENT/COMMODITIES,ITNs Comments,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Products,Comment,,No
[GC7/M-TNT/ITNS-PROC/RESULT/COMMODITIES] ITNs Under Procurement,SrAIPIOTeqC,GC7/M-TNT/ITNS-PROC/RESULT/COMMODITIES,GC7/M-TNT/ITNS-PROC/RESULT/COMMODITIES,ITNs Under Procurement,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/ITNS-SOR-D/RESULT/COMMODITIES] ITNs SOR - Denominator,dvBG2OvzGQ7,GC7/M-TNT/ITNS-SOR-D/RESULT/COMMODITIES,GC7/M-TNT/ITNS-SOR-D/RESULT/COMMODITIES,ITNs SOR - Denominator,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/ITNS-SOR-N/RESULT/COMMODITIES] ITNs SOR - Numerator,O07OWnqfspr,GC7/M-TNT/ITNS-SOR-N/RESULT/COMMODITIES,GC7/M-TNT/ITNS-SOR-N/RESULT/COMMODITIES,ITNs SOR - Numerator,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/M-TNT/LAB-Other /COMMENT/COVERAGE] Proportion of Laboratories performing light microscopy for malaria participating in external quality assurance,DAk4XPjTmB1,GC7/M-TNT/COMMENT/LAB-Other /COMMENT/COVERAGE,GC7/M-TNT/COMMENT/LAB-Other /COMMENT/COVERAGE,Proportion of Laboratories performing light microscopy for malaria participating in external quality assurance,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Program,Comment,Coverage,No
[GC7/M-TNT/LAB-Other /RESULT/COVERAGE] Proportion of Laboratories performing light microscopy for malaria participating in external quality assurance,JnvSmCZfu0Y,GC7/M-TNT/RESULT/LAB-Other /RESULT/COVERAGE,GC7/M-TNT/RESULT/LAB-Other /RESULT/COVERAGE,Proportion of Laboratories performing light microscopy for malaria participating in external quality assurance,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Program,Result,Coverage,No
[GC7/M-TNT/LAB-Other /TARGET/COVERAGE] Proportion of Laboratories performing light microscopy for malaria participating in external quality assurance,Q3vMuDbNxSp,GC7/M-TNT/TARGET/LAB-Other /TARGET/COVERAGE,GC7/M-TNT/TARGET/LAB-Other /TARGET/COVERAGE,Proportion of Laboratories performing light microscopy for malaria participating in external quality assurance,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Program,Target,Coverage,No
[GC7/M-TNT/M&E-2a/COMMENT/COVERAGE] Completeness of facility reporting: Percentage of expected facility monthly reports (for the reporting period) that are actually received,eSmaPb39e6L,GC7/M-TNT/COMMENT/M&E-2a/COMMENT/COVERAGE,GC7/M-TNT/COMMENT/M&E-2a/COMMENT/COVERAGE,Completeness of facility reporting: Percentage of expected facility monthly reports (for the reporting period) that are actually received,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Program,Comment,Coverage,No
[GC7/M-TNT/M&E-2a/RESULT/COVERAGE] Completeness of facility reporting: Percentage of expected facility monthly reports (for the reporting period) that are actually received,IiNsh48PGPA,GC7/M-TNT/RESULT/M&E-2a/RESULT/COVERAGE,GC7/M-TNT/RESULT/M&E-2a/RESULT/COVERAGE,Completeness of facility reporting: Percentage of expected facility monthly reports (for the reporting period) that are actually received,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Program,Result,Coverage,No
[GC7/M-TNT/M&E-2a/TARGET/COVERAGE] Completeness of facility reporting: Percentage of expected facility monthly reports (for the reporting period) that are actually received,qhkatjC968g,GC7/M-TNT/TARGET/M&E-2a/TARGET/COVERAGE,GC7/M-TNT/TARGET/M&E-2a/TARGET/COVERAGE,Completeness of facility reporting: Percentage of expected facility monthly reports (for the reporting period) that are actually received,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Program,Target,Coverage,No
